,company_name,location,job_title,job_description,salary_estimate,other_details,rating
1084,BP Energy,Pune,Software Development Engineer for Test,"As a Software Development Engineer in Test, you will be part of a cross-disciplinary team, working closely with other software engineers, product management, UX……
Skills: CI/CD, Azure, Kubernetes, Cucumber, C#",-1,"Size
10000+ Employees
Founded
1908
Type
Company - Public
Industry
Energy & Utilities
Sector
Energy, mining, utilities
Revenue
$10+ billion (USD)",4.0
1085,Cencora,Pune,Lead Engineer - Salesforce - Data & Security,"Stay current on emerging trends and best practices in the CRM space to recommend innovative solutions that align with business goals.…
Skills: Customer service, Salesforce, Data structures, Analysis skills, Presentation skills",-1,"Size
10000+ Employees
Founded
2023
Type
Company - Public
Industry
Biotech & Pharmaceuticals
Sector
Pharmaceutical and biotechnology
Revenue
$10+ billion (USD)",3.6
1086,Bristol-Myers Squibb,Hyderābād,Senior Manager - Principal Software Engineer - GenAI Content Pod Lead,"Deep analytical skills and logical thinking to design new solutions & identify and resolve technical issues that may arise for existing solutions.…
Skills: Jira, Drupal, Management, CSS, Software troubleshooting",-1,"Size
10000+ Employees
Founded
1858
Type
Company - Public
Industry
Biotech & Pharmaceuticals
Sector
Pharmaceutical and biotechnology
Revenue
$10+ billion (USD)",3.8
1087,BP Energy,Pune,Senior Enterprise Technology Engineer,"The ideal candidate will have experience of working in an Agile environment, handling, co-ordinating and delivering software solutions within Pricing landscape.…
Skills: Pricing, Azure, Oracle, Kubernetes, Kanban",-1,"Size
10000+ Employees
Founded
1908
Type
Company - Public
Industry
Energy & Utilities
Sector
Energy, mining, utilities
Revenue
$10+ billion (USD)",4.0
1088,Cencora,Pune,Administrator III - System & Applications Administration,"Verifies and approves plans for upgrading of databases, recommends adding new structures or elements & enables use of data access tools and techniques to enable……
Skills: CI/CD, Sage, Salesforce Marketing Cloud, Azure, Oracle",-1,"Size
10000+ Employees
Founded
2023
Type
Company - Public
Industry
Biotech & Pharmaceuticals
Sector
Pharmaceutical and biotechnology
Revenue
$10+ billion (USD)",3.6
1089,BP Energy,Pune,Metering and Analyser System Engineer - TSI,"8 years proven experience working with an upstream, midstream, or refining company; or with an engineering design company or equipment manufacturer.…
Skills: Project management, APIs, Cybersecurity",-1,"Size
10000+ Employees
Founded
1908
Type
Company - Public
Industry
Energy & Utilities
Sector
Energy, mining, utilities
Revenue
$10+ billion (USD)",4.0
1090,BP Energy,Pune,Lead Architect- Infrastructure,"Being the bridge between the delivery programmes, product teams and platform teams, and will build strong internal and external relations that help drive……
Skills: Software deployment, Databases, Business requirements, Solution architecture",-1,"Size
10000+ Employees
Founded
1908
Type
Company - Public
Industry
Energy & Utilities
Sector
Energy, mining, utilities
Revenue
$10+ billion (USD)",4.0
1091,S&P Global,Noida,Data Engineer,"Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.…
Skills: Cassandra, Big data, R, Apache Hive, MongoDB",-1,"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
1092,Deloitte,Bengaluru,FY25 - Cloud Infrastructure - Azure | Manager,"The cyber risk services—Identity & access management (IAM) practice helps organizations in designing, developing, and implementing industry-leading IAM……
Skills: CI/CD, TCP, Cloud infrastructure, Azure, Salt",-1,"Size
10000+ Employees
Founded
1850
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
Unknown / Non-Applicable",4.0
1093,Cencora,Pune,SAP Basis Administrator III,"Verifies and approves plans for upgrading of databases, recommends adding new structures or elements & enables use of data access tools and techniques to enable……
Skills: Jira, Sage, Salesforce Marketing Cloud, Azure, Oracle",-1,"Size
10000+ Employees
Founded
2023
Type
Company - Public
Industry
Biotech & Pharmaceuticals
Sector
Pharmaceutical and biotechnology
Revenue
$10+ billion (USD)",3.6
1094,BP Energy,Pune,Lead product manager - Treasury,"Demonstrable track record of discovering customer needs and translating them into inspirational, innovative solutions and detailed product requirements, for……
Skills: Data modeling, Vendor management, Lean, Bloomberg, Product development",-1,"Size
10000+ Employees
Founded
1908
Type
Company - Public
Industry
Energy & Utilities
Sector
Energy, mining, utilities
Revenue
$10+ billion (USD)",4.0
1095,Spice Money,Noida,Data Analyst,"Employ statistical techniques to scrutinize data and produce actionable business insights. Gather data from primary and secondary sources, ensuring the upkeep……
Skills: SQL, Data science, Python",-1,"Size
201 to 500 Employees
Founded
--
Type
Company - Private
Industry
Financial Transaction Processing
Sector
Finance
Revenue
Unknown / Non-Applicable",4.3
1096,Torry Harris,Bengaluru,Python Developer Data Analyst,"As a Python Developer Data Analyst at Torry Harris, you will be responsible for designing, developing, and maintaining Python-based data analysis solutions.…
Skills: Azure, Data analysis skills, NoSQL, SQL, AWS",-1,"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
Food & Beverage Manufacturing
Sector
Manufacturing
Revenue
$25 to $50 million (USD)",3.9
1097,S&P Global,Gurgaon,Data Intelligence Associate I,"Data Intelligence is a service to process, analyze and provide insight into data relevant to our client-facing and internal services. AWS Experience is a must.…
Skills: Jira, Power BI, Oracle, Database development, Salesforce",-1,"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
1098,McKinsey & Company,Gurgaon,Research Science Analyst - Finalta,"The role will involve market analysis, use of performance data, and best practice case studies to create compelling insights. MBA or master’s degree preferred.…
Skills: Analysis skills, Market research, Communication skills",-1,"Size
1001 to 5000 Employees
Founded
2009
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
Unknown / Non-Applicable",3.9
1099,Flipkart,Bengaluru,Data Engineer II,"Data engineers to build data analytical solutions that will address increasingly complex business questions.…
Skills: Data science",-1,"Size
10000+ Employees
Founded
2007
Type
Company - Private
Industry
Internet & Web Services
Sector
Information Technology
Revenue
$5 to $10 billion (USD)",3.8
1100,Oracle,Noida,Software Developer,"As a member of the LSGIU development organization, you will contribute to a mission-critical platform that enables our customers to develop solutions that……
Skills: Oracle, Software troubleshooting",-1,"Size
10000+ Employees
Founded
1977
Type
Company - Public
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
$10+ billion (USD)",3.8
1101,DeepTek Medical Imaging,Pune,Associate Data Scientists,"Familiarity with working on image data sets, data pre-processing, feature extraction, and model evaluation techniques.…
Skills: TensorFlow, Image processing, Computer vision, Machine learning, Deep learning",-1,"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.0
1102,Infinite Uptime,India,Data Scientist,"Stay current on industry trends and best practices in data science. If you are passionate about data science and have a strong analytical mindset, we encourage……
Skills: Power BI, R, Data analysis skills, Tableau, SQL",-1,"Size
51 to 200 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.8
1103,StarTele Logic,Noida,Junior AI Developer,"You will work closely with our senior developers and data scientists, contributing to the development and implementation of AI models and applications……
Skills: TensorFlow, Image processing, Azure, Software troubleshooting, Computer vision",-1,"Size
51 to 200 Employees
Founded
--
Type
Company - Private
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.9
1104,Airtel India,Gurgaon,Engineering.HO>Engineering.Data Science>Data Scientist>Airtel Centre - Gurgaon,"Design, run and analyze A/B and multivariate hypothesis tests aimed at optimizing customer experience, business KPIs and product funnels.…
Skills: TensorFlow, Statistics, Big data, Software deployment, Spark",-1,"Size
10000+ Employees
Founded
1995
Type
Company - Public
Industry
Telecommunications Services
Sector
Telecommunications
Revenue
$10+ billion (USD)",4.0
1105,The Trade Desk,Bengaluru,2025 Bangalore Software Engineering Internship,"Have a firm grasp on basic data structures and algorithmic techniques. Work with new technologies across a wide spectrum of computer science, including……
Skills: Machine learning, Distributed systems",-1,"Size
1001 to 5000 Employees
Founded
2009
Type
Company - Public
Industry
Internet & Web Services
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",3.9
1106,SmartHelio,Delhi,Data Scientist,Join our team as an experienced data scientist with a passion for tackling complex challenges in clean tech and climate science. If you’re also enthusiastic……,-1,"Size
1 to 50 Employees
Founded
--
Type
Unknown
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.7
1107,RP2,India,Data Science Intern,"Experiences you gain in this internship will help you ascertain applicability of various techniques /algorithms to various use cases.…
Skills: Image processing, Machine learning, Natural language processing, Data science, AI",-1,,
1108,Recruitment Smart,Ahmedabad,Data Science Intern,"Job Title : Data Science Intern Created on: 24/04/2023 Job Req Id: : JSSP 4444 AHMEDABAD, GUJARAT,……
Skills: Data science",-1,"Size
1 to 50 Employees
Founded
2015
Type
Company - Private
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.3
1109,Isaac Luxe,Delhi,Data Analyst,"Collaborate with data scientists and analysts to design and implement data models. Collaborate with software developers, data scientists, and business analysts……
Skills: Power BI, Microsoft Excel, Salesforce, Application development, SQL",-1,,
1110,Procter & Gamble,Mumbai,Senior Manager – SAP Security Governance: Risk and Compliance Management,"The Senior Manager’s role will ensure that the SAP Security Strategy and Risk and Compliance Management frameworks are always up-to-date, new threats are……
Skills: SAP, SOX, Analysis skills, SAP S/4HANA, RMF",₹4L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1837
Type
Company - Public
Industry
Consumer Product Manufacturing
Sector
Manufacturing
Revenue
$10+ billion (USD)",4.1
1111,S&P Global,Gurgaon,Apprentice – Data Analyst,"We are responsible for assuring that data impacts are evaluate, understood, and communicated across all teams so that business continuity is maintained.…
Skills: Business intelligence, Relational databases, Tableau, Databases, SQL",₹5L - ₹7L (Glassdoor Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
1112,Oracuz Infotech Pvt Ltd,Remote,Data Science Intern,"You will be assigned with module projects and tasks during the internship and on the basis of performance and availability of vacancies you will be hired.…
Skills: Web development, Machine learning, Data science",₹5T (Employer Est.),,
1113,Optum,Bengaluru,Manager Data Scientist,"As an Associate Manager, you will play a critical role in driving the success of our Data Science projects, leading a team of data scientists, and delivering……
Skills: TensorFlow, Big data, SQL, Analysis skills, Machine learning",₹10L (Glassdoor Est.),,
1114,ITI Data,Chennai,AWS Glue Data Engineer,"Require Financial Services industry experience. This is a high visibility, fast-paced key initiative will integrate data across internal and external sources,……
Skills: Oracle, XML, Spark, NoSQL, MongoDB",₹2L - ₹9L (Glassdoor Est.),"Size
201 to 500 Employees
Founded
1999
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.2
1115,Adobe,Bengaluru,Senior Computer Scientist,"As a key member of the team you will be expected to design, build, test and deploy stable, scalable and simple solutions.…
Skills: TensorFlow, Image processing, Azure, Kubernetes, Computer vision",₹12L - ₹16L (Employer Est.),"Size
10000+ Employees
Founded
1982
Type
Company - Public
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",4.2
1116,Ananta Consulting Group,India,Software Engineer (Vadodara),"· Stay up to date on latest technology and leverage those technologies to enhance the current systems and process to make them more efficient.…
Skills: FTP, Azure, React, NFS, Web development",₹9L - ₹10L (Glassdoor Est.),,
1117,S&P Global,Bengaluru,"Apprentice, Data Science","Knowledge of data science and data transformation processes. Flexible Downtime: Generous time off helps keep you energized for your time on.…
Skills: SQL, Analysis skills, Data science, Data visualization, Communication skills",₹15T - ₹20T (Employer Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
1118,Wisdom college for creativity & design,Ghaziabad,Data Science Trainee,"Acquire data from primary or secondary data sources and maintain databases/data systems. Use statistical methods to analyze data and generate useful business……
Skills: SQL, Data science, AI, Python",₹10T - ₹16T (Employer Est.),,
1119,Medtek.AI,Noida,DATA SCIENCE INTERN,"Ability to work in cross-functional, multi-cultural and international clinical trial teams. Performing data manipulation, analysis, and reporting of clinical……
Skills: Statistics, Oracle, SAS, R, Tableau",₹3L - ₹10L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.2
1120,Lincode,Remote,Data Science Intern,"Collaborate with cross-functional teams to integrate computer vision solutions into products. Assist in the development and implementation of computer vision……
Skills: TensorFlow, Image processing, Azure, Computer vision, Google Cloud Platform",₹3L - ₹8L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
2017
Type
Company - Private
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
Less than $1 million (USD)",3.2
1121,Boston Consulting Group,Gurgaon,"AI Engineer, India - BCG X","1-3 years of relevant work experience in data science, machine learning, artificial intelligence, or big data. Knowledge of API frameworks Django, Flask etc.…
Skills: Azure, Big data, Spark, R, Java",₹6L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
1122,Alignerr,Remote,"Coders - AI Training (Freelance, Remote) IN","As an AI Tutor - Coding, you'll play a critical role in shaping the future of AI. Proficiency working with any of the the following (in addition to the……
Skills: MATLAB, Rust, Go, C#, R",₹10T (Employer Est.),"Size
Unknown
Founded
--
Type
Company - Public
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",
1123,Boston Consulting Group,Gurgaon,"Data Scientist, India - BCG X","As a Data Scientist at BCG, you will collaborate on challenging projects to increasing your understanding of complex business problems from diverse perspectives……
Skills: Image processing, Azure, Big data, R, Google Cloud Platform",₹4L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
1124,Optum,Haryāna,Sr AI/ML Engineer,"Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,……
Skills: Presentation skills, Machine learning, Deep learning, Natural language processing, Data science",₹10L (Glassdoor Est.),,
1125,RELX,Gurgaon,Data Research Analyst,"Working flexible hours - flexing the times when you work in the day to help you fit everything in and work when you are the most productive.…
Skills: Research, Analysis skills, Data science, Communication skills",₹2L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1880
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$10+ billion (USD)",4.1
1126,Imurgence,India,Junior Data Science Team Member,"Alternatively, an extraordinary curiosity about business and industry. Discuss, brainstorm on new modules with the senior team, write business logic with……
Skills: Statistics, Microsoft Excel, Data mining, R, SQL",₹3L - ₹9L (Glassdoor Est.),"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.0
1127,GeoTechnosoft,Noida,Python/Data Science Intern - Patna(onsite),"Assist our data scientists with tasks like data analysis, machine learning exploration, and creating insightful reports.…
Skills: Power BI, Data structures, SQL, Machine learning, Data science",₹5L - ₹9L (Glassdoor Est.),,
1128,A Plus Topper,Remote,Data Science Internship,"Support the development of data-driven solutions to optimize processes. Research and experiment with new tools and techniques in data science.…
Skills: CSS, SQL, Statistical analysis, Database management, Machine learning",₹5L - ₹10L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",4.3
1129,Nest Software Private Limited,India,Data Science AI Internship,"Assist in the design, development, and deployment of AI-driven applications and solutions. Stay updated with the latest trends and advancements in data science……
Skills: Azure, Big data, Spark, Google Cloud Platform, SQL",₹5L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",1.9
1130,Boston Consulting Group,Mumbai,Data Architect,"Keep pace with industry trends to ensure our cloud data center designs and infrastructure layer architectures remain cutting-edge and client-focused.…
Skills: Azure, Cloud architecture, PCI, Kubernetes, Big data",₹85T - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
1131,Boston Consulting Group,Bengaluru,Data Engineer - X Delivery,"You will collaborate closely with cross-functional teams, including data scientists, analysts, and business stakeholders, to deliver high-quality data solutions……
Skills: Microsoft Powerpoint, CI/CD, Azure, Cassandra, Kubernetes",₹5L - ₹9L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
1132,ONLEI Technologies,Remote,Data Science Trainer,"As a Data Science & Analytics trainer, you will be responsible for training college students , freshers and Professionals . We are looking to hire a Data……
Skills: Data science",₹4L - ₹9L (Glassdoor Est.),"Size
201 to 500 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",5.0
1133,Adobe,Noida,Computer Scientist II,"If you are applying for a role outside of your current country, ensure you review the International Resources for Relocating Employees on Inside Adobe,……
Skills: Azure, Data structures, Adobe Creative Suite, Application development, AWS",₹25L - ₹40L (Employer Est.),"Size
10000+ Employees
Founded
1982
Type
Company - Public
Industry
Computer Hardware Development
Sector
Information Technology
Revenue
$2 to $5 billion (USD)",4.2
1134,Dun & Bradstreet,Mumbai,Data Science - Intern,"Demonstrated problem-solving abilities and a passion for working with big data. Perform statistical analysis, identify data anomalies, and summarize data……
Skills: Microsoft Powerpoint, Computer science, Power BI, Microsoft Excel, Big data",₹7L - ₹10L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
1841
Type
Company - Public
Industry
Business consulting
Sector
Management and consulting
Revenue
$2 to $5 billion (USD)",3.9
1135,Sagility,Bengaluru,Data Science,"Machine learning (Regression, Classification models etc) - intermediate. Computer Vision & NLP - optional but will have added advantage.…
Skills: Image processing, R, English, SQL, Machine learning",₹4L - ₹6L (Glassdoor Est.),"Size
10000+ Employees
Founded
2022
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.4
1136,Boston Consulting Group,Bengaluru,"Data Analyst, Optimization, India - X Delivery","You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs.…
Skills: Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",₹2L - ₹5L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
1137,Boston Consulting Group,Gurgaon,"Data Analyst, Predictive, India- X Delivery","Our data analytics and artificial intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",₹8T - ₹25T (Employer Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
1138,Boston Consulting Group,Delhi,Global IT QA Software Engineer Senior Manager – Gen AI/ LLM,"Knowledge of industry standards and best practices in AI/LLM quality engineering. You will collaborate with cross-functional teams including data scientists,……
Skills: Software deployment, Information security, Java, Analysis skills, Project management",₹10T - ₹18T (Employer Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
1139,NatWest Digital X,Gurgaon,Data Science Lead,"You’ll also understand the complex requirements and needs of business stakeholders along with developing strong relationships, forming hypotheses and……
Skills: Procurement, R, Machine learning, Agile, Financial services",₹6L - ₹8L (Glassdoor Est.),"Size
10000+ Employees
Founded
1727
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
$10+ billion (USD)",4.0
1140,Atlassian,Bengaluru,"Software Engineer, Data Science","You'll be responsible for the design, build and maintenance of tools that enable our Support Engineers and related teams to be more effective and efficient at……
Skills: Software deployment, Microservices, SQL, Docker, Machine learning",₹4L - ₹10L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
2002
Type
Company - Public
Industry
Software Development
Sector
Information Technology
Revenue
Unknown / Non-Applicable",3.8
1141,ANZ Banking Group,Bengaluru,Data Scientist,"Initiate, design and implement innovative capabilities in the field of data science and data analytics. As a Data Scientist, you are accountable for developing ……
Skills: Software deployment, SQL, Presentation skills, Machine learning, Data management",₹3L - ₹8L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
1835
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
Unknown / Non-Applicable",4.0
1142,ANZ Banking Group,Bengaluru,Data Engineer,"4+ years of industry experience in data and/or software engineering, data science, business intelligence, or related fields.…
Skills: CI/CD, Data modeling, Rust, Go, Business intelligence",₹8L - ₹9L (Glassdoor Est.),"Size
5001 to 10000 Employees
Founded
1835
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
Unknown / Non-Applicable",4.0
1143,C2Perform India,Delhi,Director of Development Operations,"The role is dedicated to transforming the way business functions interact with technology; therefore, you will serve as a visionary leader and advisor to our……
Skills: Data modeling, Cloud architecture, Node.js, CSS, React",₹25L - ₹36L (Employer Est.),,
1144,Boston Consulting Group,Bengaluru,"Data & Analytics Lead, Client Ops, India - X Delivery","This global business unit is an integral part of BCG’s strategy to develop new digital client service offerings in order to deliver superior value and sustained……
Skills: Microsoft Powerpoint, Statistics, Computer science, Power BI, Microsoft Access",₹5L - ₹17L (Employer Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
1145,Publicis Groupe,Gurgaon,Associate Data Analytics,"The platform is an integral part of media ways of working to ensure consistency in across markets and requires ongoing central management from an ambitious……
Skills: Google AdWords, Analysis skills, Project management, Data management, Data entry",₹10T - ₹30T (Employer Est.),"Size
10000+ Employees
Founded
1926
Type
Company - Public
Industry
Advertising & Public Relations
Sector
Media and communication
Revenue
$5 to $10 billion (USD)",3.8
1146,BigSpire Software,India,Associate Data Analytics - Freshers,"Skill Sets: Should have a good communication skills, knowledge in Hadoop, MapReduce concepts and analytical skills Qualifications: Bachelor or Master degree……
Skills: Analysis skills, Communication skills, Hadoop",₹5L - ₹9L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.9
1147,Ignitho,Chennai,Associate - Data Science (ML),"Bachelor’s degree in computer science, Statistics, Mathematics, or related field; master’s degree preferred. Work on LLM/Gen AI based applications.…
Skills: Machine learning, Natural language processing, Data science, AI, Communication skills",₹3L - ₹6L (Employer Est.),"Size
51 to 200 Employees
Founded
2016
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.3
1148,LeadsRank LLP,Chandigarh,Data Science Intern - Chandigarh,"Ability to work with large data sets using Python. Have a strong background in Python programming, MySQL, Linux, and Machine Learning.…
Skills: TensorFlow, Machine learning, Natural language processing, Cloud computing, Linux",₹30T - ₹80T (Employer Est.),,
1149,JPMorgan Chase & Co,India,Data Science - Machine Learning - Associate,"Identify key data sources that can make business impacts. Proficient in Visualization and story telling which can make an impact to the business .…
Skills: Statistics, Performance tuning, Data modeling, Alteryx, Data analysis skills",₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1799
Type
Company - Public
Industry
Banking & Lending
Sector
Finance
Revenue
$10+ billion (USD)",4.0
1150,Wahy Lab Solutions,Cochin,Data Science Intern,"we are hiring Data Science Interns , qualification : any , freshers can Apply Job Types: Full-time, Permanent, Fresher Schedule: * Monday to Friday Work……
Skills: Data science",₹4L - ₹10L (Glassdoor Est.),"Size
Unknown
Founded
--
Type
Company - Private
Industry
--
Sector
--
Revenue
Unknown / Non-Applicable",3.5
1151,S&P Global,Hyderābād,Senior MLOps Engineer,"In this role, you will play a pivotal role in implementing our machine learning operations, ensuring the seamless deployment, monitoring, and management of our……
Skills: CI/CD, Elasticsearch, Big data, NoSQL, Git",₹9L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1860
Type
Company - Public
Industry
Research and development
Sector
Management and consulting
Revenue
$10+ billion (USD)",4.1
1152,Infosys,Bengaluru,Data Science,"Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &……
Skills: R, SQL, Project management, Machine learning, Natural language processing",₹60T - ₹4L (Glassdoor Est.),"Size
10000+ Employees
Founded
1981
Type
Company - Public
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$10+ billion (USD)",3.7
1153,Innovecture,Pune,Junior Data Scientist,"O Maintain and optimize data storage solutions, ensuring data integrity and accessibility. O Ensure data is collected, transformed, and loaded efficiently from……
Skills: Power BI, Azure, Big data, Spark, R",₹9L - ₹10L (Glassdoor Est.),"Size
51 to 200 Employees
Founded
2007
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
$5 to $25 million (USD)",4.6
1154,EVOLVE ROBOTICS,India,Data Science Trainee,"Responsibilities: Direct responsibility for all the training activities conducted under each area (regular training program, campus program, student projects).…
Skills: R, SQL, AWS, Machine learning, Natural language processing",₹6L - ₹9L (Glassdoor Est.),,
1155,Foundry- Internships,Bengaluru,Data Science Intern,"Based on their interests and our business needs, interns will be placed in roles that best suit them. Thorough grasp of computer science principles.…
Skills: Computer science, C#, .NET, Analysis skills, Math",₹4L - ₹7L (Glassdoor Est.),,
1156,Diverse Infotech,Gurgaon,Data Science Analytics,"Data Science Analytics Diverse Infotech Pvt. Ltd. - Gurgaon Required Experience - 2+……
Skills: Data science",₹7L - ₹8L (Glassdoor Est.),"Size
1 to 50 Employees
Founded
2008
Type
Company - Private
Industry
Information Technology Support Services
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.0
1157,Boston Consulting Group,Delhi,Global IT Data Solution Architect Senior Manager,"Collaborate with Enterprise Architects and other Solution Architects and engineers to architect and design technical solutions that are aligned with enterprise……
Skills: Azure, Application development, AWS, Data management, APIs",₹9L - ₹10L (Glassdoor Est.),"Size
10000+ Employees
Founded
1963
Type
Company - Private
Industry
Business consulting
Sector
Management and consulting
Revenue
$5 to $10 billion (USD)",4.2
1158,BOEING,Bengaluru,Lead Data Scientist,"Bachelor’s degree or higher in computer science or other closely related fields. Exhibits confidence and an extensive knowledge of emerging industry practices……
Skills: MATLAB, Big data, Mobile applications, Business analysis, System design",₹1L - ₹8L (Glassdoor Est.),"Size
10000+ Employees
Founded
1916
Type
Company - Public
Industry
Aerospace and defence
Sector
Aerospace and defence
Revenue
$10+ billion (USD)",3.8
1159,SatSure Analytics India,Bengaluru,Data Science Intern,"To perform exploratory data analysis to understand datasets, identify patterns, and prepare data for model training.…
Skills: TensorFlow, Image processing, Computer vision, Analysis skills, Machine learning",₹10L (Glassdoor Est.),"Size
51 to 200 Employees
Founded
2017
Type
Company - Private
Industry
Enterprise Software & Network Solutions
Sector
Information Technology
Revenue
Unknown / Non-Applicable",4.1
1160,Excellent Opportunity,Remote,Python Data Scientist/Analyst,"You'll be interacting and validating the output of an LLM (asking questions based on an open source data set and then verifying and providing feedback on the……
Skills: Data analysis skills, English, AI, Communication skills, Python",₹6L - ₹9L (Glassdoor Est.),,
1161,Datamites,Pune,Data Science Trainer,"Bachelor's degree or higher in a relevant field such as Computer Science, Mathematics, Statistics, or Engineering. Strong analytical and problem-solving skills.…
Skills: R, Data analysis skills, Databases, Analysis skills, Machine learning",₹6L - ₹7L (Glassdoor Est.),,
